"spkid","pha","H","e","a","q","i","moid","class","om","ad","per_y","epoch"
20000433,N,10.41,0.2228,1.458,1.133,10.83,0.148,AMO,304.29,1.78,1.76,2460200.5
20000719,N,15.59,0.5470,2.636,1.194,11.58,0.201,AMO,183.85,4.08,4.28,2460200.5
20000887,N,13.88,0.5709,2.472,1.061,9.40,0.0789,AMO,110.42,3.88,3.89,2460200.5
20001036,N,9.26,0.5329,2.666,1.245,26.69,0.345,AMO,215.50,4.09,4.35,2460200.5
20001221,N,17.37,0.4357,1.919,1.083,11.88,0.105,AMO,171.32,2.76,2.66,2460200.5
20001566,Y,16.59,0.8269,1.078,0.187,22.80,0.0338,APO,87.95,1.97,1.12,2460200.5
20001580,N,14.69,0.4870,2.198,1.127,52.15,0.136,AMO,62.23,3.27,3.26,2460200.5
20001620,Y,15.27,0.3355,1.246,0.828,13.34,0.03,APO,337.17,1.66,1.39,2460200.5
20001627,N,12.85,0.3964,1.864,1.125,8.45,0.112,AMO,133.12,2.60,2.54,2460200.5
20001685,N,14.33,0.4361,1.368,0.771,9.38,0.0515,APO,274.22,1.96,1.6,2460200.5
20001862,Y,16.10,0.5599,1.471,0.647,6.35,0.0261,APO,35.56,2.29,1.78,2460200.5
20001863,N,15.44,0.6059,2.26,0.891,18.39,0.184,APO,346.42,3.63,3.4,2460200.5
20001864,N,14.88,0.6144,1.461,0.563,22.22,0.269,APO,6.61,2.36,1.77,2460200.5
20001865,N,16.79,0.4669,1.08,0.576,16.10,0.156,APO,212.89,1.58,1.12,2460200.5
20001866,N,12.55,0.5382,1.894,0.875,41.21,0.103,APO,63.46,2.91,2.61,2460200.5
20001915,N,18.05,0.5703,2.544,1.093,20.40,0.108,AMO,162.94,3.99,4.06,2460200.5
20001916,N,14.95,0.4496,2.272,1.251,12.88,0.252,AMO,340.60,3.29,3.43,2460200.5
20001917,N,14.40,0.5057,2.15,1.063,23.96,0.0719,AMO,188.28,3.24,3.15,2460200.5
20001943,N,15.71,0.2560,1.431,1.064,8.71,0.0616,AMO,246.30,1.80,1.71,2460200.5
20001980,N,13.87,0.3647,1.71,1.086,26.87,0.245,AMO,246.55,2.33,2.24,2460200.5
20001981,Y,15.28,0.6501,1.777,0.622,39.82,0.00314,APO,356.85,2.93,2.37,2460200.5
20002059,N,15.98,0.5319,2.642,1.237,11.02,0.244,AMO,200.69,4.05,4.29,2460200.5
20002061,N,16.70,0.5359,2.265,1.051,3.80,0.0553,AMO,207.36,3.48,3.41,2460200.5
20002062,N,17.11,0.1829,0.967,0.790,18.93,0.112,ATE,108.53,1.14,0.951,2460200.5
20002063,N,17.23,0.3494,1.078,0.701,9.43,0.0667,APO,33.06,1.45,1.12,2460200.5
20002100,N,16.23,0.4365,0.832,0.469,15.76,0.15,ATE,170.78,1.20,0.759,2460200.5
20002101,Y,18.72,0.7643,1.874,0.442,1.32,0.0115,APO,349.47,3.31,2.56,2460200.5
20002102,Y,15.97,0.2993,1.29,0.904,64.00,0.0419,APO,94.35,1.68,1.47,2460200.5
20002135,Y,18.05,0.5028,1.6,0.795,23.07,0.00884,APO,191.12,2.40,2.02,2460200.5
20002201,Y,15.35,0.7114,2.178,0.628,2.52,0.0029,APO,74.87,3.73,3.21,2460200.5
20002202,N,17.14,0.5127,2.291,1.116,8.74,0.144,AMO,169.92,3.47,3.47,2460200.5
20002212,N,13.52,0.8374,2.161,0.351,11.54,0.116,APO,27.50,3.97,3.18,2460200.5
20002329,N,14.57,0.6536,2.41,0.835,24.47,0.094,APO,169.28,3.98,3.74,2460200.5
20002340,Y,20.43,0.4499,0.8438,0.464,5.86,0.00662,ATE,211.30,1.22,0.775,2460200.5
20002368,N,15.19,0.4134,2.105,1.235,5.22,0.233,AMO,287.30,2.98,3.06,2460200.5
20002608,N,17.48,0.5681,2.528,1.092,14.54,0.143,AMO,167.09,3.96,4.02,2460200.5
20003102,N,16.17,0.4496,2.151,1.184,8.44,0.183,AMO,172.05,3.12,3.15,2460200.5
20003103,N,15.33,0.3543,1.404,0.907,20.93,0.0791,APO,129.74,1.90,1.66,2460200.5
20003122,Y,14.10,0.4231,1.769,1.020,22.14,0.0445,AMO,336.06,2.52,2.35,2460200.5
20003199,N,15.03,0.2842,1.575,1.127,32.96,0.216,AMO,339.99,2.02,1.98,2460200.5
20003200,Y,14.40,0.8900,1.271,0.140,22.29,0.0196,APO,265.15,2.40,1.43,2460200.5
20003271,N,16.58,0.3959,2.101,1.269,25.07,0.276,AMO,158.82,2.93,3.05,2460200.5
20003288,N,15.35,0.4562,2.033,1.106,5.93,0.101,AMO,218.62,2.96,2.9,2460200.5
20003352,N,15.97,0.3692,1.879,1.185,4.77,0.201,AMO,107.33,2.57,2.57,2460200.5
20003360,N,16.04,0.7455,2.467,0.628,21.14,0.108,APO,242.47,4.31,3.87,2460200.5
20003361,Y,19.56,0.3229,1.21,0.820,2.66,0.0144,APO,188.68,1.60,1.33,2460200.5
20003362,Y,18.52,0.4686,0.9895,0.526,9.92,0.0133,ATE,152.42,1.45,0.984,2460200.5
20003551,N,16.71,0.4873,2.092,1.073,9.51,0.0739,AMO,173.78,3.11,3.03,2460200.5
20003552,N,13.07,0.7078,4.265,1.246,31.09,0.339,AMO,349.94,7.28,8.81,2460200.5
20003553,N,16.43,0.3201,1.644,1.118,36.78,0.293,AMO,232.49,2.17,2.11,2460200.5
20003554,N,15.91,0.2806,0.974,0.701,23.36,0.25,ATE,358.61,1.25,0.961,2460200.5
20003671,Y,16.54,0.5410,2.2,1.009,13.53,0.0217,APO,82.06,3.39,3.26,2460200.5
20003691,N,14.96,0.2841,1.775,1.271,20.35,0.351,AMO,348.72,2.28,2.36,2460200.5
20003752,N,15.20,0.3015,1.414,0.987,55.56,0.0771,APO,147.96,1.84,1.68,2460200.5
20003753,N,15.49,0.5149,0.9978,0.484,19.80,0.0707,ATE,126.20,1.51,0.997,2460200.5
20003757,Y,19.04,0.4457,1.835,1.017,3.87,0.0363,AMO,74.93,2.65,2.49,2460200.5
20003838,N,15.71,0.7023,1.505,0.448,29.20,0.159,APO,235.47,2.56,1.85,2460200.5
20003908,N,17.46,0.4594,1.928,1.042,2.19,0.0558,AMO,261.20,2.81,2.68,2460200.5
20003988,N,17.95,0.3167,1.544,1.055,10.77,0.178,AMO,229.79,2.03,1.92,2460200.5
20004015,Y,16.18,0.6316,2.625,0.967,2.80,0.0427,APO,266.76,4.28,4.25,2460200.5
20004034,Y,18.52,0.4440,1.06,0.589,11.17,0.0194,APO,157.90,1.53,1.09,2460200.5
20004055,N,14.96,0.3262,1.82,1.226,23.26,0.239,AMO,164.82,2.41,2.46,2460200.5
20004179,Y,15.31,0.6247,2.544,0.955,0.45,0.00653,APO,125.34,4.13,4.06,2460200.5
20004183,Y,14.18,0.6360,1.981,0.721,6.67,0.0284,APO,294.35,3.24,2.79,2460200.5
20004197,N,15.03,0.7724,2.294,0.522,12.60,0.0984,APO,7.01,4.07,3.48,2460200.5
20004257,N,16.07,0.4683,1.647,0.876,40.72,0.169,APO,169.16,2.42,2.11,2460200.5
20004341,N,16.08,0.6800,1.834,0.587,11.84,0.194,APO,108.04,3.08,2.48,2460200.5
20004401,N,16.12,0.5632,2.584,1.129,26.63,0.334,AMO,22.79,4.04,4.15,2460200.5
20004450,Y,17.28,0.5868,1.442,0.596,5.52,0.0283,APO,311.77,2.29,1.73,2460200.5
20004486,Y,15.62,0.6625,2.201,0.743,3.04,0.0462,APO,82.22,3.66,3.27,2460200.5
20004487,N,17.49,0.2966,1.73,1.217,16.41,0.219,AMO,198.11,2.24,2.28,2460200.5
20004503,N,15.82,0.5244,2.703,1.286,2.51,0.304,AMO,45.95,4.12,4.45,2460200.5
20004544,N,17.40,0.2502,1.042,0.781,14.14,0.174,APO,23.96,1.30,1.06,2460200.5
20004581,Y,20.74,0.3569,1.023,0.658,4.92,0.00387,APO,180.21,1.39,1.03,2460200.5
20004596,N,16.46,0.5200,2.24,1.075,37.07,0.296,AMO,154.21,3.40,3.35,2460200.5
20004660,Y,18.75,0.3587,1.485,0.953,1.45,0.00426,APO,313.12,2.02,1.81,2460200.5
20004688,N,19.60,0.5179,2.232,1.076,6.38,0.107,AMO,241.23,3.39,3.34,2460200.5
20004769,Y,17.50,0.4832,1.063,0.549,8.88,0.0204,APO,325.53,1.58,1.1,2460200.5
20004947,N,18.08,0.1685,1.37,1.139,15.65,0.149,AMO,215.43,1.60,1.6,2460200.5
20004953,Y,14.95,0.6574,1.621,0.555,24.38,0.0248,APO,77.53,2.69,2.06,2460200.5
20004954,N,12.56,0.4493,2.001,1.102,17.43,0.194,AMO,358.42,2.90,2.83,2460200.5
20004957,N,15.13,0.2188,1.565,1.223,35.01,0.424,AMO,254.88,1.91,1.96,2460200.5
20005011,Y,16.71,0.5000,1.636,0.818,7.41,0.0242,APO,10.64,2.45,2.09,2460200.5
20005131,N,14.86,0.5690,1.486,0.641,36.43,0.275,APO,110.36,2.33,1.81,2460200.5
